symbol,company
ABI,VictoryShares Pioneer Asset-Based Inc ETF
ABS,Albertson's Inc.
ACAS,American Capital Ltd
ACE,Chubb Corp.
ACS,American Crystal Sugar Co
AET,Aetna Inc.
AGN,Allergan Inc.
AKS,AK Steel Holding Corp.
ANDV,Andeavor
ANDW,Andrew Corp.
ANR,American Natural Resource Co
APCC,American Power Conversion Corp
ASN,
AT,Alltel Corp
AV,Avaya Inc.
AVP,Avon Products Inc
AW,Allied Waste Industries Inc.
AYE,Allegheny Energy Inc.
BCR,C. R. Bard Inc
BDK,Black & Decker Manufacturing
BJS,BJ Services Co.
BLS,BellSouth Corp.
BMC,BMC Software Inc
BMET,Biomet Inc.
BMS,Bemis Company Inc
BOL,Bausch & Lomb Inc.
BRL,Barr Pharmaceuticals Inc.
BSC,Bear Stearns Co
BXLT,Baxalta
CA,Xtrackers California Municipal Bond ETF
CA,Xtrackers California Municipal Bond ETF
CAM,Alliance Bernstein - AB California Intermediate Municipal ETF
CBE,Cooper Industries plc
CBSS,Compass Bancshares Inc
CCE,
CELG,Celgene Corp
CEPH,Cephalon Inc.
CFC,Countrywide Financial Corp.
CFN,CareFusion Corp
CIN,Cinergy Corp.
CMCSK,Comcast Corp
CMVT,Comverse Technology Inc
CMX,Caremark Rx
COL,"Rockwell Collins, Inc."
COV,Covidien Plc
COV,Covidien Plc
CPN,Citigroup Capital XIII
CSRA,Cohen & Steers Real Assets Active ETF
CTB,Cooper Tire & Rubber Co.
CTX,Centex Corp.
CVG,Convergys Corporation
CVH,Coventry Corp
CXO,Concho Resources Inc
DF,Dean Foods Co
DJ,Dow Jones & Co. Inc.
DNR,Denbury Resources Inc.
DPH,Delphi Corp.
DPS,Dr Pepper Snapple Group Inc
DTV,DirecTV
DWDP,DuPont
EDS,Electronic Data Systems Corp
EMC,Global X - Emerging Markets Great Consumer ETF
EOP,Equity Office Properties Trust
ETFC,E*TRADE Financial Corp
EVHC,Envision Healthcare Corporation
FDC,First Data Corp.
FDO,Family Dollar Stores Inc
FLIR,FLIR Systems Inc
FSH,Fisher Scientific Int'l
FSLB,Freescale Semiconductor Inc
FTR,Fruehauf Corp
GAS,AGL Resources Inc.
GDW,Golden West Financial
GGP,GGP Inc
GLK,Great Lakes Chemical Corp
GR,Goodrich Corp.
GTW,Gateway Inc.
HAR,Harvey Aluminium Inc
HCBK,Hudson City Bancorp Inc
HCR,Manor Care Inc.
HNZ,H. J. Heinz Company
HPC,Hercules Inc.
HSH,Hillshire Brands Co
HSP,Hospira Inc.
JCP,J.C. Penney Co Inc
JNY,Jones Group
KMG,"KMG Chemicals, Inc."
KRB,MBNA Corp.
KRI,
KSE,KeySpan Corp
LEHMQ,Lehman Brothers Holding
LM,Legg Mason Inc
LO,Lorillard Inc.
MAY,May Dept Stores
MEDI,Harbor Health Care ETF (MEDI)
MEE,Massey Energy Co.
MEL,Mellon Financial Corp
MERQ,Mercury Interactive Corp
MFE,McAfee Inc.
MHS,Marriott Corp.
MIL,Millipore Corp
MOLX,Molex Inc.
MWW,Monster Worldwide Inc.
MYG,Maytag Corp.
NBL,Noble Energy Inc
NCC,National City Corp.
NFB,North Fork BanCorp
NFX,Newfield Exploration Company
NOVL,Novell Inc
NSM,Nationstar Mortgage Holdings Inc.
NVLS,Novellus Systems Inc
NXTL,Nextel Communications Inc
NYX,NYSE Euronext Inc
OMX,OfficeMax Inc
PBG,Pepsi Bottling Group Inc.
PCL,Plum Creek Timber Company
PETM,PetSmart Inc
PGL,Peoples Energy Corp
PGN,Progress Energy Inc.
PTV,Pactiv Corp
PVN,Providian Financial Corp
PWER,Nomura Energy Transition ETF
QEP,QEP Resources Inc
RBK,Reebok Int'l Ltd
RDC,Rowan Companies plc
RHT,Red Hat Inc.
RMG,Cablevision Systems Corp.
RMG,Cablevision Systems Corp.
ROH,Rohm & Hass Co
RSH,RadioShack Corp.
RTN,Raytheon Co.
SAF,Saratoga Investment Corp 6.25%
SBL,Symbol Technologies Inc
SCG,SCANA Corp.
SEBL,Siebel Systems Inc.
SFA,
SIAL,
SLR,Solectron Corp.
SNI,Scripps Networks Interactive Inc
SUNEQ,SunEdison Inc
SWY,Safeway Inc.
TEG,Integrys Energy Group
TIE,Titanium Metal Corp
TIF,Tiffany & Co
TIN,
TLAB,Tellabs Inc.
TOY,"Toys ""R"" Us, Inc."
TRCO,Tribune Media Co
TSG,Sabre Holdings Corp
TSS,Total System Services Inc
TWC,Time Warner Cable Inc.
TXU,TXU Gas Co.
TYC,Tyco International
UVN,Univision Comm Inc
VAR,Varian Medical Systems Inc
VIAB,Viacom Inc.
WCG,WellCare Health Plans Inc
WFT,Weatherford Int'l plc
WIN,Windstream Holdings Inc
WPX,WPX Energy Inc
WWY,Wrigley Co.
WYE,Wyeth Corp.
WYND,Wyndham Destinations Inc
XEC,Cimarex Energy Co
XTO,XTO Energy Inc.
YHOO,Yahoo! Inc
